2016090100,67.752,9,1,1,24.04956911841532
2016090101,65.856,9,1,1,23.88385218968881
2016090102,64.08,9,1,1,23.328996401541986
2016090103,61.128,9,1,1,22.48561560355887
2016090104,53.496,9,1,1,22.470819449208307
2016090105,49.992,9,1,1,24.13982565995383
2016090106,52.296,9,1,1,24.70059990984089
2016090107,49.944,9,1,1,25.60908378696655
2016090108,48.432,9,1,1,26.32669727296974
2016090109,48.696,9,1,1,29.999102782784007
2016090110,60.144,9,1,1,30.32313856306177
2016090111,77.04,9,1,1,30.73151242313781
2016090112,70.896,9,1,1,32.72011556785594
2016090113,75.264,9,1,1,32.58547056326563
2016090114,74.472,9,1,1,32.671288258498976
2016090115,64.728,9,1,1,31.968470926846408
2016090116,66.672,9,1,1,31.89892900139864
2016090117,75.312,9,1,1,28.6334177362254
2016090118,66.864,9,1,1,28.27683041637636
2016090119,70.008,9,1,1,28.39372003574596
2016090120,73.176,9,1,1,28.072643486338336
2016090121,71.688,9,1,1,26.45098496951465
2016090122,81.72,9,1,1,25.970109953120755
2016090123,71.208,9,1,1,25.33239570061073
2016090200,58.344,9,2,1,24.09691681233716
2016090201,55.512,9,2,1,24.12798873647341
2016090202,49.704,9,2,1,23.71073718378699
2016090203,45.936,9,2,1,22.530004066610616
2016090204,47.88,9,2,1,22.399797908325525
2016090205,49.224,9,2,1,24.62365990721787
2016090206,44.088,9,2,1,24.824887606385744
2016090207,50.352,9,2,1,25.61796147957693
2016090208,59.616,9,2,1,26.1831745757691
2016090209,57.6,9,2,1,30.75814550096885
2016090210,67.92,9,2,1,31.17687666909029
2016090211,81.48,9,2,1,31.62963899221808
2016090212,79.632,9,2,1,33.776560988487404
2016090213,73.488,9,2,1,34.05028984397319
2016090214,74.64,9,2,1,34.31662062228361
2016090215,79.368,9,2,1,33.62268098324137
2016090216,72.048,9,2,1,33.135887505107235
2016090217,85.8,9,2,1,27.850701171079606
2016090218,79.752,9,2,1,26.659610745857837
2016090219,81.672,9,2,1,26.45838304668996
2016090220,79.848,9,2,1,26.48945497082616
2016090221,89.784,9,2,1,24.388401053043594
2016090222,89.904,9,2,1,24.34401258999185
2016090223,81.384,9,2,1,24.030334117759537
2016090300,75.24,9,3,0,22.275510211780613
2016090301,65.568,9,3,0,21.856779043659174
2016090302,57.816,9,3,0,21.30932133268766
2016090303,56.712,9,3,0,20.605024385600014
2016090304,59.016,9,3,0,20.64201477147645
2016090305,48.192,9,3,0,23.861657958162937
2016090306,49.776,9,3,0,24.70503875614605
